analysis_unit,group_type,group_value,metric,n,mean,std,min,q25,median,q75,max
capture_pair,hardware_source,iphone15pro,layer4_1_cosine,160,0.9627742763608694,0.02341837150844474,0.8718432188034058,0.9517273455858231,0.9697538912296295,0.9791889190673828,0.9956647157669067
capture_pair,hardware_source,iphone15pro,avgpool_cosine,160,0.9915338985621929,0.006342939040486871,0.9667627811431885,0.988865077495575,0.9934120178222656,0.9959706515073776,0.9993585348129272
capture_pair,hardware_source,iphone15pro,cosine_reconvergence,160,0.02875962220132351,0.017232516161194835,0.003693819046020508,0.016356363892555237,0.024346351623535156,0.036204949021339417,0.09491956233978271
capture_pair,hardware_source,iphone15pro,layer4_1_relative_l2,160,0.26250938009470703,0.08150893663760093,0.09318214654922485,0.2040194794535637,0.24609216302633286,0.31242018938064575,0.5182124376296997
capture_pair,hardware_source,iphone15pro,avgpool_relative_l2,160,0.12470882905181498,0.045398542847141884,0.03581748530268669,0.0925417635589838,0.11558869853615761,0.1527911052107811,0.27375373244285583
capture_pair,hardware_source,iphone15pro,relative_l2_reconvergence,160,0.13780055104289204,0.03746701724496975,0.05736466124653816,0.11143574491143227,0.13309715688228607,0.157603207975626,0.24445870518684387
capture_pair,hardware_source,scan,layer4_1_cosine,160,0.9677373297512532,0.01989067614993239,0.888975203037262,0.9577999711036682,0.9740225076675415,0.9811761826276779,0.9925342798233032
capture_pair,hardware_source,scan,avgpool_cosine,160,0.9929638151079416,0.005461670097132498,0.9700158834457397,0.9909376800060272,0.9947657585144043,0.9963223487138748,0.998898983001709
capture_pair,hardware_source,scan,cosine_reconvergence,160,0.025226485356688498,0.01462610120882198,0.00602269172668457,0.014956176280975342,0.02076888084411621,0.032525137066841125,0.08263671398162842
capture_pair,hardware_source,scan,layer4_1_relative_l2,160,0.24513162109069525,0.07251164786011684,0.12228841334581375,0.1946357525885105,0.228349506855011,0.2934121787548065,0.48156094551086426
capture_pair,hardware_source,scan,avgpool_relative_l2,160,0.11399328040424735,0.04008317824803167,0.04857523739337921,0.08682226948440075,0.10438308864831924,0.13561737537384033,0.24557578563690186
capture_pair,hardware_source,scan,relative_l2_reconvergence,160,0.13113834068644792,0.03411205404151697,0.06653834134340286,0.10708854347467422,0.12472512573003769,0.1547704078257084,0.23672635853290558
card,pair_type,digital_1_vs_bonafide,layer4_1_cosine,160,0.9632896470526855,0.023170814546521805,0.8651860356330872,0.954407791296641,0.969926009575526,0.9787094295024872,0.9913753072420756
card,pair_type,digital_1_vs_bonafide,avgpool_cosine,160,0.991500873118639,0.006613449722782675,0.9620588223139445,0.9894849558671316,0.9938680628935497,0.9958257923523585,0.9981402556101481
card,pair_type,digital_1_vs_bonafide,cosine_reconvergence,160,0.02821122606595357,0.016716368466946054,0.00676494836807251,0.016796494523684185,0.023219972848892212,0.03465905288855235,0.09687278668085735
card,pair_type,digital_1_vs_bonafide,layer4_1_relative_l2,160,0.2606929762599369,0.07693058527101636,0.13126388688882193,0.2054299550751845,0.244479904572169,0.2993183235327403,0.5232700010140737
card,pair_type,digital_1_vs_bonafide,avgpool_relative_l2,160,0.12482523017873366,0.044341403588956496,0.060960245629151665,0.0927746444940567,0.11300118267536163,0.145161638657252,0.2799786478281021
card,pair_type,digital_1_vs_bonafide,relative_l2_reconvergence,160,0.13586774608120322,0.03398026155391837,0.07030364125967026,0.11226414454480012,0.1292654151717822,0.15732864663004875,0.2432913531859716
card,pair_type,digital_1_vs_digital_2,layer4_1_cosine,160,0.9658810994277399,0.020408506744957942,0.8811178604761759,0.9567707280317942,0.9724846184253693,0.9797583470741907,0.9941251476605734
card,pair_type,digital_1_vs_digital_2,avgpool_cosine,160,0.9923580763240654,0.005611454680463647,0.963482121626536,0.9901883949836094,0.9941505094369252,0.9958287477493286,0.9988683859507242
card,pair_type,digital_1_vs_digital_2,cosine_reconvergence,160,0.02647697689632575,0.014934462103009912,0.00474323829015096,0.01590683062871297,0.021828124920527138,0.03421817223230998,0.08236426115036011
card,pair_type,digital_1_vs_digital_2,layer4_1_relative_l2,160,0.2512920422634731,0.07286269085130202,0.10781849920749664,0.2011071766416232,0.23488764464855194,0.2937060445547104,0.4888223608334859
card,pair_type,digital_1_vs_digital_2,avgpool_relative_l2,160,0.11838860271188119,0.04035311884656619,0.046913481007019676,0.09291265284021696,0.10791607449452081,0.1410078170398871,0.2719002564748128
card,pair_type,digital_1_vs_digital_2,relative_l2_reconvergence,160,0.13290343955159187,0.033598721975378054,0.06090501820047697,0.1094255093485117,0.12706792851289112,0.1547765719393889,0.2170951763788859
card,pair_type,digital_2_vs_bonafide,layer4_1_cosine,160,0.9672648609926302,0.022295219744853427,0.8779792984326681,0.9602393706639608,0.9742816686630249,0.9829382002353668,0.9941338698069254
card,pair_type,digital_2_vs_bonafide,avgpool_cosine,160,0.9923420948286852,0.006267283603797733,0.9663249254226685,0.9904809594154358,0.9945338765780132,0.9965735077857971,0.9989129106203715
card,pair_type,digital_2_vs_bonafide,cosine_reconvergence,160,0.025077233836054803,0.016151171224965816,0.004779040813446045,0.013340761264165241,0.02024942636489868,0.03071346382300059,0.08834562699000041
card,pair_type,digital_2_vs_bonafide,layer4_1_relative_l2,160,0.24346987999354797,0.07750082894170864,0.10803008327881496,0.18549448624253273,0.22560885548591614,0.28009993334611255,0.4971610903739929
