file_stem,hardware_source,image_role,image_path,image_sha256,layer4_shape,shift_y,shift_x,layer4_original_vs_roll_cosine,layer4_original_vs_roll_relative_l2,avgpool_original_vs_roll_cosine,avgpool_original_vs_roll_relative_l2,model_avgpool_float32_max_abs_error,roll_avgpool_float32_max_abs_error,roll_avgpool_float64_max_abs_error
arabic-NF-1045,scan,digital_2,train/attack/digital_2/scan/arabic-NF-1045.jpg,fb2eec0d61cf68e43cef64c2f546b11fea887f4f99ae06a8c84727ebd05fe31b,"(1, 512, 8, 13)",1,1,0.7462238073348999,0.7124271392822266,1.0,5.418887027985875e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1049,huawei,bonafide,train/bonafide/huawei/arabic-NF-1049.jpg,cd92749e1d741df86286207d511fe6ed2e28d0ee6eb2b4f72c2af62602e2c24d,"(1, 512, 8, 13)",1,1,0.7438539266586304,0.7157458662986755,1.0,5.546923986798902e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1049,huawei,digital_1,train/attack/digital_1/huawei/arabic-NF-1049.jpg,594a4a4c716a24c7332a9f06ab1b434f0eb8e3a41df7329434a4173967f5a808,"(1, 512, 8, 13)",1,1,0.7482083439826965,0.7096362113952637,1.0000001192092896,6.749619529955453e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1049,huawei,digital_2,train/attack/digital_2/huawei/arabic-NF-1049.jpg,66d0223b8b355ac9a161187e0827c7bd5e71bf01519104e5e7753d23e2d6180f,"(1, 512, 8, 13)",1,1,0.7472873330116272,0.710932731628418,1.0,5.455589047187459e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1049,iphone15pro,bonafide,train/bonafide/iphone15pro/arabic-NF-1049.jpg,b01bad7a90aae8c5ea5afbfcfeacef94dc34363f34ffd462db6569ea405e2d4a,"(1, 512, 8, 13)",1,1,0.7500497698783875,0.7070363163948059,1.0,5.555956761327252e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1049,iphone15pro,digital_1,train/attack/digital_1/iphone15pro/arabic-NF-1049.jpg,841de70112197bd622365a0c29a9bbc5f1a91313b9d46d95ff0399c852a04d5b,"(1, 512, 8, 13)",1,1,0.7470801472663879,0.7112241387367249,1.0,5.39900888441025e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1049,iphone15pro,digital_2,train/attack/digital_2/iphone15pro/arabic-NF-1049.jpg,913c9714a06e261bcc784341d5ff8247f6389fbba0b50c18f95979e4d15c23ef,"(1, 512, 8, 13)",1,1,0.7418357133865356,0.7185600996017456,0.9999999403953552,5.019963111863035e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1049,scan,bonafide,train/bonafide/scan/arabic-NF-1049.jpg,ddb6d00c7a3878efb44d5bf6130f9c0b227d6ab6d16fb58f9837ab9ea0232182,"(1, 512, 8, 13)",1,1,0.7421591281890869,0.7181097865104675,1.0,5.752696452532291e-08,0.0,4.76837158203125e-07,0.0
arabic-NF-1049,scan,digital_1,train/attack/digital_1/scan/arabic-NF-1049.jpg,88c422048a113b03cd3adc6aa3189901ba250f77ea7be348d71eb145c2f6930d,"(1, 512, 8, 13)",1,1,0.7371822595596313,0.7250072956085205,0.9999999403953552,4.5707913898240804e-08,0.0,2.384185791015625e-07,0.0
arabic-NF-1049,scan,digital_2,train/attack/digital_2/scan/arabic-NF-1049.jpg,117b3ad111a3b01c4cb1ae09f50a43711e11a6d01f01282061e9069bb95f760a,"(1, 512, 8, 13)",1,1,0.7365017533302307,0.7259454131126404,1.0,4.553960764042131e-08,0.0,2.384185791015625e-07,0.0
